m4,Um42,stat+,stat-
33.8093,3.40538e-05,0,0
33.6023,2.01861e-05,0,0
33.394,1.60668e-05,0,0
33.1843,1.39422e-05,0,0
32.9734,1.262e-05,0,0
32.761,1.17055e-05,0,0
32.5473,1.10371e-05,0,0
32.3322,1.05284e-05,0,0
32.1157,1.01348e-05,0,0
31.8976,9.82978e-06,0,0
31.6781,9.58794e-06,0,0
31.457,9.39957e-06,0,0
31.2344,9.25432e-06,0,0
31.0102,9.15249e-06,0,0
30.7843,9.08762e-06,0,0
30.5568,9.05476e-06,0,0
30.3275,9.05363e-06,0,0
30.0965,9.08086e-06,0,0
29.8638,9.14062e-06,0,0
29.6292,9.2235e-06,0,0
29.3927,9.33762e-06,0,0
29.1543,9.47766e-06,0,0
28.914,9.64844e-06,0,0
28.6716,9.85145e-06,0,0
28.4272,1.00821e-05,0,0
28.1806,1.03482e-05,0,0
28.9958,4.425e-06,0,0
28.7443,3.88826e-06,0,0
28.4906,4.02112e-06,0,0
28.2346,3.21488e-06,0,0
27.9763,2.66675e-06,0,0
27.7155,1.90018e-06,0,0
27.4523,1.79295e-06,0,0
27.1866,2.72447e-06,0,0
26.9182,4.41935e-06,0,0
26.6471,5.05645e-06,0,0
26.3732,4.58047e-06,0,0
26.0965,3.9145e-06,0,0
25.8168,3.88198e-06,0,0
25.534,4.46317e-06,0,0
25.248,4.78908e-06,0,0
24.9588,4.56707e-06,0,0
24.6662,4.31027e-06,0,0
24.3701,4.25853e-06,0,0
24.0703,4.09815e-06,0,0
23.7668,3.32117e-06,0,0
23.7668,3.32117e-06,0,0
23.4593,2.44748e-06,0,0
23.1477,1.92739e-06,0,0
22.8319,1.70701e-06,0,0
22.5117,1.71914e-06,0,0
22.1868,1.94417e-06,0,0
21.8571,2.37089e-06,0,0
21.5224,2.86845e-06,0,0
21.1823,3.25674e-06,0,0
20.8368,3.45597e-06,0,0
20.4854,3.46907e-06,0,0
20.1278,3.43859e-06,0,0
19.7638,3.56304e-06,0,0
19.393,3.94269e-06,0,0
19.0149,4.47281e-06,0,0
18.6292,4.86209e-06,0,0
18.2353,4.80179e-06,0,0
17.8327,4.28216e-06,0,0
17.4208,3.6877e-06,0,0
16.9989,3.34784e-06,0,0
16.5663,3.45277e-06,0,0
16.1221,4.16966e-06,0,0
15.6652,5.92711e-06,0,0
